series,pcgs_id,name,designation
Lincoln Cent (Modern) (1959 to Date),149544,2007-D,RD
Lincoln Cent (Modern) (1959 to Date),394899,2008,RD
Lincoln Cent (Modern) (1959 to Date),394905,2008-D,RD
Lincoln Cent (Modern) (1959 to Date),407237,2009 Lincoln-Early Childhood,RD
Lincoln Cent (Modern) (1959 to Date),407243,2009-D Lincoln-Early Childhood,RD
Lincoln Cent (Modern) (1959 to Date),407831,2009 Lincoln-Formative Years,RD
Lincoln Cent (Modern) (1959 to Date),407841,2009-D Lincoln-Formative Years,RD
Lincoln Cent (Modern) (1959 to Date),407850,2009 Lincoln-Professional,RD
Lincoln Cent (Modern) (1959 to Date),407859,2009-D Lincoln-Professional,RD
Lincoln Cent (Modern) (1959 to Date),407868,2009 Lincoln-Presidency,RD
Lincoln Cent (Modern) (1959 to Date),407878,2009-D Lincoln-Presidency,RD
Lincoln Cent (Modern) (1959 to Date),416668,2010 Shield,RD
Lincoln Cent (Modern) (1959 to Date),418696,2010 Shield First Day of Issue,RD
Lincoln Cent (Modern) (1959 to Date),416671,2010-D Shield,RD
Lincoln Cent (Modern) (1959 to Date),418699,2010-D Shield First Day of Issue,RD
Lincoln Cent (Modern) (1959 to Date),505055,2011 Shield,RD
Lincoln Cent (Modern) (1959 to Date),505058,2011-D Shield,RD
Lincoln Cent (Modern) (1959 to Date),511244,2012 Shield,RD
Lincoln Cent (Modern) (1959 to Date),511247,2012-D Shield,RD
Lincoln Cent (Modern) (1959 to Date),517514,2013 Shield,RD
Lincoln Cent (Modern) (1959 to Date),517517,2013-D Shield,RD
Lincoln Cent (Modern) (1959 to Date),524406,2014 Shield,RD
Lincoln Cent (Modern) (1959 to Date),524409,2014-D Shield,RD
Lincoln Cent (Modern) (1959 to Date),539708,2015 Shield,RD
Lincoln Cent (Modern) (1959 to Date),539693,2015-D Shield,RD
Lincoln Cent (Modern) (1959 to Date),597079,2016 Shield,RD
Lincoln Cent (Modern) (1959 to Date),597082,2016-D Shield,RD
Lincoln Cent (Modern) (1959 to Date),620986,2017-P Shield,RD
Lincoln Cent (Modern) (1959 to Date),622407,2017-D Shield,RD
Lincoln Cent (Modern) (1959 to Date),671490,2018 Shield,RD
Lincoln Cent (Modern) (1959 to Date),673778,2018-D Shield,RD
Lincoln Cent (Modern) (1959 to Date),709381,2019 Shield,RD
Lincoln Cent (Modern) (1959 to Date),712089,2019-D Shield,RD
Lincoln Cent (Modern) (1959 to Date),735680,2019-D Shield Explore & Discover Set First Day of Issue,"RD PL"
Lincoln Cent (Modern) (1959 to Date),737001,2019-D Shield Explore & Discover Set First Strike,"RD PL"
Lincoln Cent (Modern) (1959 to Date),752260,2019-W Shield,RD
Lincoln Cent (Modern) (1959 to Date),715594,(2019) Blank Planchet Explore & Discover Set,RD
Lincoln Cent (Modern) (1959 to Date),810704,2020 Shield,RD
Lincoln Cent (Modern) (1959 to Date),810707,2020-D Shield,RD
Lincoln Cent (Modern) (1959 to Date),852825,2021 Shield,RD
Lincoln Cent (Modern) (1959 to Date),852829,2021-D Shield,RD
Lincoln Cent (Modern) (1959 to Date),898561,2022 Shield,RD
Lincoln Cent (Modern) (1959 to Date),898564,2022-D Shield,RD
Lincoln Cent (Modern) (1959 to Date),919779,2023 Shield,RD
Lincoln Cent (Modern) (1959 to Date),919781,2023-D Shield,RD
Lincoln Cent (Modern) (1959 to Date),936054,2024 Shield,RD
Lincoln Cent (Modern) (1959 to Date),941225,2024-D Shield,RD
